page,category,host,kind,rep,first_arm,width,control_bytes,ablated_bytes,own_bytes,diff_bytes,n_aborted
https://fwmrm.net/,infrastructure,js.hubspot.com,ablation,1,ablated,listed,771032,726423,43879,730,1
https://fwmrm.net/,infrastructure,_JOINT,joint,0,control,page,2755160,2008159,432278,314723,9
https://fwmrm.net/,infrastructure,_JOINT,joint,0,control,third_party,2754851,2007850,432278,314723,9
https://fwmrm.net/,infrastructure,_JOINT,joint,0,control,listed,772118,334915,432278,4925,9
https://fwmrm.net/,infrastructure,_JOINT,joint,1,ablated,page,2754911,2007184,432606,315121,9
https://fwmrm.net/,infrastructure,_JOINT,joint,1,ablated,third_party,2754602,2006875,432606,315121,9
https://fwmrm.net/,infrastructure,_JOINT,joint,1,ablated,listed,772218,334476,432606,5136,9
https://harvard.edu/,reference,connect.facebook.net,ablation,0,control,page,3140266,2977955,161611,700,1
https://harvard.edu/,reference,connect.facebook.net,ablation,0,control,third_party,685655,523542,161611,502,1
https://harvard.edu/,reference,connect.facebook.net,ablation,0,control,listed,207596,45471,161611,514,1
https://harvard.edu/,reference,connect.facebook.net,ablation,1,ablated,page,3135972,2973878,161611,483,1
https://harvard.edu/,reference,connect.facebook.net,ablation,1,ablated,third_party,681361,519267,161611,483,1
https://harvard.edu/,reference,connect.facebook.net,ablation,1,ablated,listed,207597,45511,161611,475,1
https://harvard.edu/,reference,www.google-analytics.com,ablation,0,control,page,3135945,3112904,23572,-531,1
https://harvard.edu/,reference,www.google-analytics.com,ablation,0,control,third_party,681334,658491,23572,-729,1
https://harvard.edu/,reference,www.google-analytics.com,ablation,0,control,listed,207577,184004,23572,1,1
https://harvard.edu/,reference,www.google-analytics.com,ablation,1,ablated,page,3135946,3112394,23572,-20,1
https://harvard.edu/,reference,www.google-analytics.com,ablation,1,ablated,third_party,681335,657783,23572,-20,1
https://harvard.edu/,reference,www.google-analytics.com,ablation,1,ablated,listed,207577,184005,23572,0,1
https://harvard.edu/,reference,cdn.parsely.com,ablation,0,control,page,3135768,3115684,20034,50,2
https://harvard.edu/,reference,cdn.parsely.com,ablation,0,control,third_party,681355,661073,20034,248,2
https://harvard.edu/,reference,cdn.parsely.com,ablation,0,control,listed,207601,187314,20034,253,2
https://harvard.edu/,reference,cdn.parsely.com,ablation,1,ablated,page,3135988,3115654,20034,300,2
